Pair,Event_Category,Sample_Size,Mean_Range,Median_Range,Std_Range,Max_Range,Min_Range,P25,P75,Avg_Range_vs_ATR
AUDUSD,NFP,71,65.2,61.5,36.3,316.7,26.5,46.7,74.1,1.01
AUDUSD,GDP,47,61.5,58.0,25.2,177.0,27.4,44.8,72.9,0.96
AUDUSD,Powell,43,60.4,55.8,45.0,316.7,19.9,36.2,75.0,0.91
AUDUSD,CPI,71,58.1,51.5,25.0,135.3,26.6,39.4,67.0,0.87
AUDUSD,Unemployment,216,57.8,53.5,27.8,316.7,21.0,41.3,66.1,0.87
AUDUSD,RBA,61,57.6,53.6,25.0,145.4,20.3,40.4,66.9,0.87
AUDUSD,PMI,108,57.3,53.7,22.2,145.4,23.0,42.3,67.4,0.89
AUDUSD,PPI,35,55.5,49.3,21.5,110.6,29.0,39.3,64.7,0.8
AUDUSD,Other,247,55.2,50.0,26.4,316.7,17.0,38.1,64.3,0.83
AUDUSD,FOMC,50,54.0,46.6,26.6,135.5,24.1,33.8,66.4,0.84
AUDUSD,Retail_Sales,35,50.4,50.6,16.2,104.7,17.2,39.7,60.7,0.76
EURJPY,CPI,33,159.9,119.8,114.6,569.2,50.4,96.6,185.0,1.03
EURJPY,BOJ,59,149.8,120.8,84.2,399.0,50.3,86.2,185.1,1.07
EURJPY,ECB,26,131.1,131.1,48.3,211.9,54.4,89.3,164.9,0.96
EURJPY,PMI,36,127.7,111.3,59.9,305.2,43.8,87.6,168.0,0.88
EURJPY,Other,51,117.7,105.1,47.7,237.3,50.3,83.4,141.9,0.86
EURUSD,NFP,71,76.5,75.2,32.7,188.3,27.7,54.4,90.7,0.99
EURUSD,ECB,26,74.6,72.3,31.9,167.1,35.0,54.5,87.8,0.95
EURUSD,Unemployment,181,73.6,67.2,34.1,272.2,27.7,52.7,86.8,0.93
EURUSD,CPI,67,73.4,65.4,36.1,272.2,30.7,51.2,85.9,0.96
EURUSD,GDP,35,73.1,71.4,27.6,167.1,35.1,55.5,84.5,0.91
EURUSD,PMI,109,71.1,62.8,33.9,250.9,27.8,48.5,83.5,0.91
EURUSD,PPI,35,68.6,64.0,37.7,221.0,26.1,47.5,76.7,0.84
EURUSD,Other,227,67.2,60.7,29.3,221.0,24.4,45.6,80.0,0.85
EURUSD,Powell,43,66.6,62.7,26.1,146.8,16.9,52.4,78.9,0.83
EURUSD,Retail_Sales,35,63.2,60.7,23.4,134.3,26.1,49.5,69.0,0.81
EURUSD,FOMC,50,59.8,49.5,27.2,134.6,27.5,40.9,69.4,0.78
GBPUSD,NFP,71,95.2,93.4,37.4,196.6,30.2,73.1,112.7,0.99
GBPUSD,PMI,109,89.6,83.8,36.2,207.2,30.2,62.5,105.7,0.94
GBPUSD,Unemployment,181,88.4,82.0,34.8,196.6,36.2,63.8,104.2,0.92
GBPUSD,BOE,70,87.1,84.1,31.3,164.9,32.1,64.5,104.6,0.87
GBPUSD,CPI,69,86.4,80.5,32.1,222.6,37.5,66.4,100.5,0.89
GBPUSD,Other,251,83.9,77.9,34.5,222.6,24.5,60.7,104.0,0.86
GBPUSD,Powell,43,83.7,81.3,32.2,196.6,32.7,62.2,100.4,0.87
GBPUSD,GDP,70,82.2,72.6,30.3,168.2,32.9,60.1,101.6,0.85
GBPUSD,PPI,35,81.6,81.3,27.8,155.3,38.9,63.5,99.1,0.82
GBPUSD,FOMC,50,73.5,67.6,32.7,171.5,30.2,48.4,94.3,0.77
GBPUSD,Retail_Sales,62,73.1,70.6,25.6,164.9,29.7,54.1,85.4,0.76
NZDUSD,NFP,71,59.2,55.2,26.8,222.9,19.8,45.2,69.4,0.98
NZDUSD,CPI,45,58.8,52.6,25.1,123.6,24.7,39.6,70.5,0.97
NZDUSD,FOMC,50,55.8,54.7,25.9,152.5,21.8,34.8,67.1,0.93
NZDUSD,Unemployment,193,53.3,49.2,23.2,222.9,17.7,38.8,61.3,0.87
NZDUSD,Powell,43,52.1,47.6,31.7,222.9,20.1,33.5,58.9,0.86
NZDUSD,GDP,47,50.8,49.9,17.3,95.3,12.2,40.1,59.8,0.84
NZDUSD,PPI,35,50.6,47.1,19.2,93.7,24.8,37.0,56.8,0.8
NZDUSD,PMI,108,50.2,46.0,20.2,129.8,19.3,39.1,58.3,0.84
NZDUSD,Other,231,49.5,45.2,21.7,222.9,18.0,35.8,59.8,0.8
NZDUSD,RBA,21,45.5,42.0,18.1,90.4,20.1,31.1,56.7,0.73
NZDUSD,Retail_Sales,35,44.8,41.7,13.5,82.9,24.8,36.8,51.9,0.73
USDCAD,NFP,71,69.4,63.0,31.7,185.2,22.3,44.9,91.1,0.9
USDCAD,PMI,108,67.1,60.4,33.5,243.9,22.3,47.5,76.7,0.89
USDCAD,CPI,69,66.6,59.3,30.7,206.1,25.0,48.5,73.5,0.86
USDCAD,Unemployment,198,65.6,57.4,28.8,227.3,22.3,45.6,78.7,0.85
USDCAD,Other,216,65.3,58.0,29.5,215.8,21.5,45.1,75.7,0.82
USDCAD,GDP,68,64.1,59.1,24.1,120.9,24.7,46.2,76.1,0.84
USDCAD,Retail_Sales,46,61.8,56.1,23.6,125.6,23.5,43.8,76.1,0.79
USDCAD,Powell,43,61.6,53.5,30.8,185.2,19.1,39.2,74.9,0.79
USDCAD,BOC,59,59.4,57.0,22.8,137.3,25.0,42.7,73.1,0.79
USDCAD,FOMC,50,58.4,51.5,26.7,139.6,28.1,39.4,68.8,0.79
USDCAD,PPI,35,57.9,54.3,25.4,139.2,23.5,43.2,66.3,0.71
USDCHF,CPI,67,71.1,58.2,45.5,322.1,29.0,49.7,77.0,1.01
USDCHF,Unemployment,181,66.4,59.2,35.6,322.1,18.6,44.9,79.3,0.94
USDCHF,NFP,71,66.0,57.3,29.4,155.2,25.5,45.2,85.3,0.94
USDCHF,PMI,108,61.5,54.5,30.2,239.7,22.3,44.9,71.2,0.9
USDCHF,GDP,35,59.1,56.7,26.0,139.7,24.9,37.7,67.3,0.86
USDCHF,Other,218,58.7,53.8,26.5,155.4,20.6,39.0,72.3,0.85
USDCHF,PPI,35,58.4,49.1,27.0,155.4,26.8,41.4,71.3,0.82
USDCHF,Retail_Sales,35,57.1,48.8,22.2,130.2,30.2,43.2,73.2,0.82
